municipio_norm,municipio_ibge,regiao_intermediaria,regiao_imediata,mesorregiao
ROSARIO DO SUL,Rosário do Sul,Uruguaiana,Santana do Livramento,Sudoeste Rio-grandense
SAGRADA FAMILIA,Sagrada Família,Passo Fundo,Palmeira das Missões,Noroeste Rio-grandense
SALDANHA MARINHO,Saldanha Marinho,Passo Fundo,Carazinho,Noroeste Rio-grandense
SALTO DO JACUI,Salto do Jacuí,Passo Fundo,Cruz Alta,Noroeste Rio-grandense
SALVADOR DAS MISSOES,Salvador das Missões,Ijuí,Cerro Largo,Noroeste Rio-grandense
SALVADOR DO SUL,Salvador do Sul,Porto Alegre,Montenegro,Metropolitana de Porto Alegre
SANANDUVA,Sananduva,Passo Fundo,Tapejara - Sananduva,Noroeste Rio-grandense
SANTA BARBARA DO SUL,Santa Bárbara do Sul,Passo Fundo,Cruz Alta,Noroeste Rio-grandense
SANTA CECILIA DO SUL,Santa Cecília do Sul,Passo Fundo,Tapejara - Sananduva,Noroeste Rio-grandense
SANTA CLARA DO SUL,Santa Clara do Sul,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
SANTA CRUZ DO SUL,Santa Cruz do Sul,Santa Cruz do Sul - Lajeado,Santa Cruz do Sul,Centro Oriental Rio-grandense
SANTA MARIA,Santa Maria,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
SANTA MARIA DO HERVAL,Santa Maria do Herval,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
SANTA MARGARIDA DO SUL,Santa Margarida do Sul,Santa Maria,São Gabriel - Caçapava do Sul,Sudoeste Rio-grandense
SANTANA DA BOA VISTA,Santana da Boa Vista,Santa Maria,São Gabriel - Caçapava do Sul,Sudeste Rio-grandense
SANTANA DO LIVRAMENTO,Sant'Ana do Livramento,Uruguaiana,Santana do Livramento,Sudoeste Rio-grandense
SANTA ROSA,Santa Rosa,Ijuí,Santa Rosa,Noroeste Rio-grandense
SANTA TEREZA,Santa Tereza,Caxias do Sul,Bento Gonçalves,Nordeste Rio-grandense
